date,volatility_state,trend_state,participation_state,volume_state,raw_regime,is_canonical,distance,confirmed_regime,days_in_regime,provisional_regime,provisional_days,regime_confirmed
2018-09-24,Moderate,Mild Down,Divergent,Normal,Volatile Chop,False,0.05,Volatile Chop,1,,0,True
2018-09-25,Moderate,Mild Down,Divergent,Normal,Volatile Chop,False,0.05,Volatile Chop,2,,0,False
2018-09-26,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Volatile Chop,3,Slow Bleed,1,False
2018-09-27,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Volatile Chop,4,Slow Bleed,2,False
2018-09-28,Moderate,Mild Down,Divergent,Normal,Volatile Chop,False,0.05,Volatile Chop,5,,0,False
2018-10-01,Moderate,Mild Down,Divergent,Normal,Volatile Chop,False,0.05,Volatile Chop,6,,0,False
2018-10-03,Moderate,Mild Down,Divergent,Normal,Volatile Chop,False,0.05,Volatile Chop,7,,0,False
2018-10-04,High Stable,Mild Down,Divergent,Normal,Volatile Chop,True,0.0,Volatile Chop,8,,0,False
2018-10-05,High Stable,Mild Down,Divergent,Normal,Volatile Chop,True,0.0,Volatile Chop,9,,0,False
2018-10-08,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,1,,0,True
2018-10-09,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,2,,0,False
2018-10-10,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,3,,0,False
2018-10-11,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,4,,0,False
2018-10-12,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,5,,0,False
2018-10-15,High Stable,Mild Down,Divergent,Normal,Volatile Chop,True,0.0,Volatile Chop,1,,0,True
2018-10-16,High Stable,Mild Down,Divergent,Normal,Volatile Chop,True,0.0,Volatile Chop,2,,0,False
2018-10-17,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Volatile Chop,3,Slow Bleed,1,False
2018-10-19,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,1,,0,True
2018-10-22,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,2,,0,False
2018-10-23,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,3,,0,False
2018-10-24,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,4,,0,False
2018-10-25,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,5,,0,False
2018-10-26,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,6,,0,False
2018-10-29,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,7,,0,False
2018-10-30,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,8,,0,False
2018-10-31,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,9,,0,False
2018-11-01,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,10,,0,False
2018-11-02,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Slow Bleed,11,Volatile Chop,1,False
2018-11-05,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,12,,0,False
2018-11-06,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Slow Bleed,13,Volatile Chop,1,False
2018-11-07,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Slow Bleed,14,Volatile Chop,2,False
2018-11-09,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Slow Bleed,15,Volatile Chop,3,False
2018-11-12,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,16,,0,False
2018-11-13,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Slow Bleed,17,Volatile Chop,1,False
2018-11-14,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Slow Bleed,18,Volatile Chop,2,False
2018-11-15,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Slow Bleed,19,Volatile Chop,3,False
2018-11-16,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Slow Bleed,20,Volatile Chop,4,False
2018-11-19,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,21,,0,False
2018-11-20,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,22,,0,False
2018-11-21,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,23,,0,False
2018-11-22,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,24,,0,False
2018-11-26,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,25,,0,False
2018-11-27,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Slow Bleed,26,Volatile Chop,1,False
2018-11-28,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Slow Bleed,27,Volatile Chop,2,False
2018-11-29,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Slow Bleed,28,Volatile Chop,3,False
2018-11-30,High Chaotic,Mild Down,Broad,Normal,Volatile Chop,False,0.125,Slow Bleed,29,Volatile Chop,4,False
2018-12-03,High Chaotic,Mild Down,Broad,Normal,Volatile Chop,False,0.125,Volatile Chop,5,,0,True
2018-12-04,High Chaotic,Mild Down,Broad,Normal,Volatile Chop,False,0.125,Volatile Chop,6,,0,False
2018-12-05,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Volatile Chop,7,,0,False
2018-12-06,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Volatile Chop,8,,0,False
2018-12-07,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Volatile Chop,9,,0,False
2018-12-10,High Stable,Mild Down,Narrowing,Normal,Slow Bleed,False,0.1,Slow Bleed,1,,0,True
2018-12-11,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Slow Bleed,2,Volatile Chop,1,False
2018-12-12,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Slow Bleed,3,Volatile Chop,2,False
2018-12-13,High Chaotic,Mild Down,Narrowing,Normal,Volatile Chop,False,0.125,Slow Bleed,4,Volatile Chop,3,False
2018-12-14,High Chaotic,Mild Down,Broad,Normal,Volatile Chop,False,0.125,Slow Bleed,5,Volatile Chop,4,False
2018-12-17,High Chaotic,Mild Down,Broad,Normal,Volatile Chop,False,0.125,Volatile Chop,5,,0,True
2018-12-18,High Chaotic,Mild Down,Broad,Normal,Volatile Chop,False,0.125,Volatile Chop,6,,0,False
